Rozmiar,Metoda,Operacja,Przypadek,Czas_ns
1000,sondowanie_liniowe,dodawanie,optymistyczny,102
1000,sondowanie_liniowe,dodawanie,sredni,103
1000,sondowanie_liniowe,dodawanie,pesymistyczny,326
1000,sondowanie_liniowe,szukanie,optymistyczny,101
1000,sondowanie_liniowe,szukanie,sredni,113
1000,sondowanie_liniowe,szukanie,pesymistyczny,187
1000,sondowanie_liniowe,usuwanie,optymistyczny,109
1000,sondowanie_liniowe,usuwanie,sredni,123
1000,sondowanie_liniowe,usuwanie,pesymistyczny,199
1000,lancuchowanie,dodawanie,optymistyczny,182
1000,lancuchowanie,dodawanie,sredni,221
1000,lancuchowanie,dodawanie,pesymistyczny,208
1000,lancuchowanie,szukanie,optymistyczny,74
1000,lancuchowanie,szukanie,sredni,63
1000,lancuchowanie,szukanie,pesymistyczny,73
1000,lancuchowanie,usuwanie,optymistyczny,142
1000,lancuchowanie,usuwanie,sredni,94
1000,lancuchowanie,usuwanie,pesymistyczny,111
1000,robin_hood,dodawanie,optymistyczny,45
1000,robin_hood,dodawanie,sredni,46
1000,robin_hood,dodawanie,pesymistyczny,231
1000,robin_hood,szukanie,optymistyczny,43
1000,robin_hood,szukanie,sredni,44
1000,robin_hood,szukanie,pesymistyczny,76
1000,robin_hood,usuwanie,optymistyczny,44
1000,robin_hood,usuwanie,sredni,48
1000,robin_hood,usuwanie,pesymistyczny,67
1000,sondowanie_kwadratowe,dodawanie,optymistyczny,44
1000,sondowanie_kwadratowe,dodawanie,sredni,54
1000,sondowanie_kwadratowe,dodawanie,pesymistyczny,93
1000,sondowanie_kwadratowe,szukanie,optymistyczny,41
1000,sondowanie_kwadratowe,szukanie,sredni,44
1000,sondowanie_kwadratowe,szukanie,pesymistyczny,86
1000,sondowanie_kwadratowe,usuwanie,optymistyczny,50
1000,sondowanie_kwadratowe,usuwanie,sredni,48
1000,sondowanie_kwadratowe,usuwanie,pesymistyczny,95
2000,sondowanie_liniowe,dodawanie,optymistyczny,49
2000,sondowanie_liniowe,dodawanie,sredni,57
2000,sondowanie_liniowe,dodawanie,pesymistyczny,111
2000,sondowanie_liniowe,szukanie,optymistyczny,44
2000,sondowanie_liniowe,szukanie,sredni,56
2000,sondowanie_liniowe,szukanie,pesymistyczny,96
2000,sondowanie_liniowe,usuwanie,optymistyczny,52
2000,sondowanie_liniowe,usuwanie,sredni,66
2000,sondowanie_liniowe,usuwanie,pesymistyczny,101
2000,lancuchowanie,dodawanie,optymistyczny,230
2000,lancuchowanie,dodawanie,sredni,191
2000,lancuchowanie,dodawanie,pesymistyczny,261
2000,lancuchowanie,szukanie,optymistyczny,94
2000,lancuchowanie,szukanie,sredni,75
2000,lancuchowanie,szukanie,pesymistyczny,83
2000,lancuchowanie,usuwanie,optymistyczny,118
2000,lancuchowanie,usuwanie,sredni,112
2000,lancuchowanie,usuwanie,pesymistyczny,125
2000,robin_hood,dodawanie,optymistyczny,53
2000,robin_hood,dodawanie,sredni,51
2000,robin_hood,dodawanie,pesymistyczny,225
2000,robin_hood,szukanie,optymistyczny,42
2000,robin_hood,szukanie,sredni,43
2000,robin_hood,szukanie,pesymistyczny,88
2000,robin_hood,usuwanie,optymistyczny,56
2000,robin_hood,usuwanie,sredni,54
2000,robin_hood,usuwanie,pesymistyczny,80
2000,sondowanie_kwadratowe,dodawanie,optymistyczny,49
2000,sondowanie_kwadratowe,dodawanie,sredni,51
2000,sondowanie_kwadratowe,dodawanie,pesymistyczny,103
2000,sondowanie_kwadratowe,szukanie,optymistyczny,49
2000,sondowanie_kwadratowe,szukanie,sredni,43
2000,sondowanie_kwadratowe,szukanie,pesymistyczny,91
2000,sondowanie_kwadratowe,usuwanie,optymistyczny,58
2000,sondowanie_kwadratowe,usuwanie,sredni,56
2000,sondowanie_kwadratowe,usuwanie,pesymistyczny,95
5000,sondowanie_liniowe,dodawanie,optymistyczny,49
5000,sondowanie_liniowe,dodawanie,sredni,50
